location_id,window_start,window_end,pm25_avg,samples
1267,2016-09-12 20:00:00,2016-09-12 20:15:00,6.3,1
137,2017-04-28 11:00:00,2017-04-28 11:15:00,11.0,1
389,2017-04-28 18:00:00,2017-04-28 18:15:00,4.3,1
598,2017-07-06 16:00:00,2017-07-06 16:15:00,9.2,1
5069,2017-08-20 18:00:00,2017-08-20 18:15:00,10.0,1
2635,2017-11-18 03:00:00,2017-11-18 03:15:00,11.0,1
520,2017-11-28 23:00:00,2017-11-28 23:15:00,8.6,1
2591,2018-02-22 03:00:00,2018-02-22 03:15:00,288.0,1
1777,2018-03-09 20:00:00,2018-03-09 20:15:00,0.8,1
5681,2018-04-25 00:00:00,2018-04-25 00:15:00,15.3,1
5731,2018-04-25 17:00:00,2018-04-25 17:15:00,20.0,1
2005,2018-05-14 19:00:00,2018-05-14 19:15:00,7.0,1
5850,2018-07-12 17:00:00,2018-07-12 17:15:00,4.0,1
5968,2018-09-10 22:00:00,2018-09-10 22:15:00,3.0,1
1351,2019-01-04 15:00:00,2019-01-04 15:15:00,19.2,1
1300,2019-03-06 18:00:00,2019-03-06 18:15:00,5.0,1
61755,2019-04-14 23:00:00,2019-04-14 23:15:00,9.662436,1
900,2019-04-18 18:00:00,2019-04-18 18:15:00,11.0,1
7085,2019-11-07 13:00:00,2019-11-07 13:15:00,4.0,1
7112,2019-11-21 19:00:00,2019-11-21 19:15:00,13.0,1
7102,2019-11-26 17:00:00,2019-11-26 17:15:00,16.0,1
7071,2019-12-04 19:00:00,2019-12-04 19:15:00,8.0,1
7208,2019-12-27 09:00:00,2019-12-27 09:15:00,23.0,1
7146,2020-01-09 16:00:00,2020-01-09 16:15:00,1.0,1
7449,2020-02-17 01:00:00,2020-02-17 01:15:00,6.1,1
7135,2020-03-19 14:00:00,2020-03-19 14:15:00,4.0,1
7583,2020-04-28 09:45:00,2020-04-28 10:00:00,17.0,1
7618,2020-05-05 23:00:00,2020-05-05 23:15:00,8.0,1
223723,2020-06-04 06:00:00,2020-06-04 06:15:00,5.05,1
1902,2020-06-10 21:00:00,2020-06-10 21:15:00,24.0,1
7804,2020-08-29 20:00:00,2020-08-29 20:15:00,0.0,1
223810,2020-09-10 09:00:00,2020-09-10 09:15:00,4.72,1
223724,2020-09-14 01:00:00,2020-09-14 01:15:00,7.35,1
5872,2020-10-21 21:00:00,2020-10-21 21:15:00,3.2,1
2615,2020-11-24 16:00:00,2020-11-24 16:15:00,0.0,1
2269,2020-11-24 18:00:00,2020-11-24 18:15:00,0.5,1
223704,2020-11-30 17:00:00,2020-11-30 17:15:00,16.24,1
223768,2020-12-01 00:00:00,2020-12-01 00:15:00,3.89,1
223771,2020-12-01 00:00:00,2020-12-01 00:15:00,4.59,1
223703,2020-12-01 00:00:00,2020-12-01 00:15:00,4.98,1
223698,2020-12-01 00:00:00,2020-12-01 00:15:00,2.04,1
223783,2020-12-01 00:00:00,2020-12-01 00:15:00,3.69,1
6255,2020-12-31 15:00:00,2020-12-31 15:15:00,37.0,1
9855,2020-12-31 16:00:00,2020-12-31 16:15:00,19.0,1
9610,2020-12-31 16:00:00,2020-12-31 16:15:00,58.0,1
7763,2020-12-31 17:00:00,2020-12-31 17:15:00,19.0036,1
7501,2021-05-10 16:00:00,2021-05-10 16:15:00,2.23,1
10230,2021-07-19 21:00:00,2021-07-19 21:15:00,46.0,1
43303,2021-08-09 11:00:00,2021-08-09 11:15:00,11.0,1
9234,2021-08-09 11:00:00,2021-08-09 11:15:00,14.0,1
43529,2021-08-09 11:00:00,2021-08-09 11:15:00,9.0,1
9316,2021-08-09 11:00:00,2021-08-09 11:15:00,35.0,1
9592,2021-08-09 11:00:00,2021-08-09 11:15:00,15.0,1
9107,2021-08-09 11:00:00,2021-08-09 11:15:00,19.0,1
9845,2021-08-09 11:00:00,2021-08-09 11:15:00,5.0,1
9709,2021-08-09 11:00:00,2021-08-09 11:15:00,7.0,1
9284,2021-08-09 11:00:00,2021-08-09 11:15:00,40.0,1
9046,2021-08-09 11:00:00,2021-08-09 11:15:00,14.0,1
9876,2021-08-09 11:00:00,2021-08-09 11:15:00,12.0,1
9197,2021-08-09 11:00:00,2021-08-09 11:15:00,13.0,1
10321,2021-08-09 11:00:00,2021-08-09 11:15:00,7.0,1
9068,2021-08-09 11:00:00,2021-08-09 11:15:00,9.0,1
9568,2021-08-09 11:00:00,2021-08-09 11:15:00,6.0,1
43504,2021-08-09 11:00:00,2021-08-09 11:15:00,20.0,1
43487,2021-08-09 11:00:00,2021-08-09 11:15:00,16.0,1
7573,2021-08-09 11:00:00,2021-08-09 11:15:00,8.0,1
43440,2021-08-09 11:00:00,2021-08-09 11:15:00,15.0,1
7700,2021-08-09 11:00:00,2021-08-09 11:15:00,4.0,1
43589,2021-08-09 11:00:00,2021-08-09 11:15:00,52.0,1
10089,2021-08-09 11:00:00,2021-08-09 11:15:00,15.0,1
9061,2021-08-09 11:00:00,2021-08-09 11:15:00,29.0,1
10349,2021-08-09 11:00:00,2021-08-09 11:15:00,46.0,1
9982,2021-08-09 11:00:00,2021-08-09 11:15:00,17.0,1
7389,2021-08-09 11:00:00,2021-08-09 11:15:00,13.0,1
43423,2021-08-09 11:00:00,2021-08-09 11:15:00,37.0,1
43405,2021-08-09 11:00:00,2021-08-09 11:15:00,5.0,1
8455,2021-08-09 11:00:00,2021-08-09 11:15:00,25.0,1
9545,2021-08-09 11:00:00,2021-08-09 11:15:00,7.0,1
10130,2021-08-09 11:00:00,2021-08-09 11:15:00,15.0,1
